order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000001,ORD00001,PROD0045,3,9647.19,28941.57
OI000002,ORD00001,PROD0048,3,2324.5,6973.5
OI000003,ORD00001,PROD0005,1,2068.49,2068.49
OI000004,ORD00002,PROD0089,3,1013.75,3041.25
OI000005,ORD00002,PROD0049,2,2378.14,4756.28
OI000006,ORD00003,PROD0084,1,6711.85,6711.85
OI000007,ORD00003,PROD0064,2,1729.91,3459.82
OI000008,ORD00004,PROD0072,2,778.36,1556.72
OI000009,ORD00004,PROD0102,2,2741.38,5482.76
OI000010,ORD00004,PROD0011,3,5408.66,16225.98
OI000011,ORD00004,PROD0079,3,4637.03,13911.09
OI000012,ORD00005,PROD0066,1,6996.26,6996.26
OI000013,ORD00005,PROD0072,2,778.36,1556.72
OI000014,ORD00005,PROD0106,1,2858.17,2858.17
OI000015,ORD00006,PROD0034,3,3005.65,9016.95
OI000016,ORD00007,PROD0115,1,6269.24,6269.24
OI000017,ORD00007,PROD0038,1,5439.85,5439.85
OI000018,ORD00007,PROD0007,2,7612.19,15224.38
OI000019,ORD00007,PROD0109,2,1867.82,3735.64
OI000020,ORD00007,PROD0089,2,1013.75,2027.5
OI000021,ORD00008,PROD0011,2,5408.66,10817.32
OI000022,ORD00008,PROD0071,1,663.11,663.11
OI000023,ORD00009,PROD0090,1,135.1,135.1
OI000024,ORD00009,PROD0007,3,7612.19,22836.57
OI000025,ORD00009,PROD0072,3,778.36,2335.08
OI000026,ORD00009,PROD0065,1,9272.53,9272.53
OI000027,ORD00010,PROD0100,1,345.38,345.38
OI000028,ORD00010,PROD0099,3,8659.6,25978.8
OI000029,ORD00010,PROD0102,3,2741.38,8224.14
OI000030,ORD00010,PROD0113,3,5247.21,15741.63
OI000031,ORD00010,PROD0080,3,5422.58,16267.74
OI000032,ORD00011,PROD0092,2,5652.98,11305.96
OI000033,ORD00011,PROD0099,2,8659.6,17319.2
OI000034,ORD00011,PROD0062,3,9271.03,27813.09
OI000035,ORD00012,PROD0090,2,135.1,270.2
OI000036,ORD00012,PROD0035,3,9721.69,29165.07
OI000037,ORD00012,PROD0016,3,1710.28,5130.84
OI000038,ORD00012,PROD0063,2,4907.85,9815.7
OI000039,ORD00012,PROD0051,2,801.49,1602.98
OI000040,ORD00013,PROD0120,2,3108.36,6216.72
OI000041,ORD00014,PROD0026,3,2701.14,8103.42
OI000042,ORD00014,PROD0044,1,1734.76,1734.76
