payment_id,order_id,payment_date,payment_method,payment_status,amount_paid,transaction_id
PAY00001,ORD00001,18-10-2024,COD,Pending,37983.56,e548fce9-d374-4df3-872d-c38babeae4ae
PAY00002,ORD00002,03-07-2024,Net Banking,Success,0,9b1f6c1d-eaf7-4404-b20b-13ea1edc7f96
PAY00003,ORD00003,14-01-2025,COD,Pending,10171.67,c9fc259f-770d-42f1-bd89-19238d2555c6
PAY00004,ORD00004,01-10-2024,Net Banking,Pending,0,4ea2a462-3db4-4c81-849d-a6bd34d4f461
PAY00005,ORD00005,25-09-2024,COD,Success,11411.15,f4c2e5d6-9d7b-4dc9-a400-11a7c5d751c0
PAY00006,ORD00006,05-05-2025,UPI,Failed,9016.95,59ee6017-689e-4a1e-bbb5-8fdb3983d294
PAY00007,ORD00007,30-08-2024,Credit Card,Failed,32696.61,cf3151f6-c9f9-4a16-8a2a-928f0a13d8e1
PAY00008,ORD00008,17-05-2025,COD,Pending,11480.43,92ec919b-a0cc-418c-887e-63971f93f7db
PAY00009,ORD00009,18-03-2025,Credit Card,Failed,34579.28,f2f648e2-5b59-4d00-8861-f84fb7d77a1a
PAY00010,ORD00010,15-11-2024,Credit Card,Failed,66557.69,c64669ee-73bd-4b2f-bf6d-b4f6a90ae91a
PAY00011,ORD00011,08-02-2025,COD,Success,0,296e9713-a22d-4c8a-81c9-8b0fb07ace79
PAY00012,ORD00012,18-01-2025,COD,Pending,0,3cbb0c6e-a04a-492f-aaa6-d052b1576832
PAY00013,ORD00013,02-03-2025,COD,Success,6216.72,4fa0a0e3-9ba1-48f7-a51f-4fef3fc63905
PAY00014,ORD00014,10-07-2024,Credit Card,Pending,0,74b12fb7-0d4c-408c-a1db-1e4211cf4b73
PAY00015,ORD00015,20-04-2025,COD,Pending,33180.42,c7e77738-bf84-4fdb-ac5c-281e7cd42314
PAY00016,ORD00016,08-08-2024,UPI,Failed,63798.17,7d0b138d-5b38-4adf-9b40-bd0b88163406
PAY00017,ORD00017,12-04-2025,COD,Pending,0,32eaf87c-e1aa-4c35-b918-62753b698bdb
PAY00018,ORD00018,02-09-2024,UPI,Failed,70349.89,9dc2fd62-8ba5-4f99-9119-ef35be829a61
PAY00019,ORD00019,03-03-2025,UPI,Failed,0,cd2069fa-d4c0-40a2-b4ec-f688d3300ce1
PAY00020,ORD00020,21-08-2024,COD,Success,9346.67,ff6f0895-a439-4bde-bb1b-f3230e63bb40
PAY00021,ORD00021,24-07-2024,Net Banking,Failed,0,17f8117b-1cb9-4a2d-a6d1-f55fa3ae8993
PAY00022,ORD00022,25-07-2024,UPI,Pending,0,b08bc98a-ccee-4b7e-972e-bc37eb400288
PAY00023,ORD00023,04-09-2024,COD,Failed,54029.99,682fc182-628f-432b-958d-50a4d549d3a6
PAY00024,ORD00024,24-01-2025,UPI,Pending,0,2eeaec97-18d9-48e3-b18d-37883c23657c
PAY00025,ORD00025,05-05-2025,Credit Card,Success,0,8c1665b5-2813-4ccc-960d-e5caa828bfec
PAY00026,ORD00026,06-03-2025,UPI,Success,0,361af15d-7aed-4f9e-a5df-bfee99a5df05
PAY00027,ORD00027,26-08-2024,Credit Card,Failed,12257.62,d04d1a7f-ea61-4169-94de-7debf5f9fbdd
PAY00028,ORD00028,02-12-2024,Net Banking,Failed,22232.6,08082966-3b2e-4429-949f-a3e7e3e27973
PAY00029,ORD00029,31-08-2024,Credit Card,Failed,0,ada57d05-3d44-4bed-82e0-6c5de789aa10
PAY00030,ORD00030,04-06-2025,UPI,Failed,53646.81,cdc4bde0-7240-4859-ae6c-324525dea7bd
PAY00031,ORD00031,10-04-2025,UPI,Pending,32101.34,eaf37324-05c1-4bcd-9f07-8d347e6b5d82
PAY00032,ORD00032,01-11-2024,UPI,Pending,39114.09,29c512b4-e55d-4de7-a698-ebe330d5f411
PAY00033,ORD00033,06-06-2025,Net Banking,Success,40550.57,6498ac93-d5bb-4943-9dac-17f358db8187
PAY00034,ORD00034,30-10-2024,UPI,Failed,14500.09,6563883e-aca0-443d-9f4c-ff2f2f314fbb
PAY00035,ORD00035,17-06-2025,Net Banking,Failed,32854.74,2ff723b9-4f92-42f2-a719-67675dabe688
PAY00036,ORD00036,29-10-2024,Net Banking,Success,0,4b05951b-c47d-47a9-b0c0-4a1f7bccb7bf
PAY00037,ORD00037,31-08-2024,COD,Failed,31829.05,f3723076-ee08-4086-b1c2-6a3b373911af
PAY00038,ORD00038,11-08-2024,COD,Failed,0,46ef6836-e686-47de-a9ac-9fff1e81d673
